Movie Name,Storyline
Viswam,"When terrorists target a young girl who witnessed an assassination, a heroic taxi driver comes to the rescue."
Kidnapping Inc.,"Doc and Zoe are two hapless kidnappers tasked with what appears to be a simple abduction for hire, only to find out that it's anything but and end up in the middle of a political conspiracy."
Ronny - The ruler,"A disillusioned actor turns into a feared mass rowdy, using his power to dismantle corrupt systems amid societal conflicts."
The Landlord,"Macy, a writer, moves to a new house with eccentric landlord Katie, who becomes fixated on her. Despite her friends' jealousy, Macy decides to move, unsure of her survival."
Os Farofeiros 2,"Their company treats co-workers Alexandre, Lima, Rocha, Diguinho, and their families to a trip to Bahia, but this dream trip could be ruined by unseen events and problems."
Valari,"A possessed 13-year-old girl commits a horrific act, burying a secret. Years later, she returns to the village with her family, unaware of the looming vengeance from the past."
Fragment,"Isolated in her desert home, a computer programmer struggles to cope with inexplicable occurrences that begin to unravel her reality."
Freaknik: The Wildest Party Never Told,Recounts the rise and fall of a small Atlanta HBCU picnic that exploded into an influential street party and spotlighted ATL as a major cultural stage.
Superman Reborn,"For the first time ever, a live script reading performance of the never before seen first draft of the unmade 5th Christopher Reeve Superman movie."
Chris Bumstead's the Raw Story,"Every story has an origin. A sports documentary delving into the life of 5x Olympia champion Chris Bumstead, charting his rise to becoming a crossover fitness superstar. The film offers an intimate look at the deep bond between Bumstead and his close friends and business partners, Matt Jansen and Dom Iacovone. Together, they transformed their businesses, RAW and Revive, into multi-million dollar ventures, all while navigating the intense world of competitive bodybuilding. Featuring never before seen footage leading up to the 2022 Mr. Olympia competition, this documentary captures the truth, honor, and brotherhood that define The Raw Story."
Malu,"Malu, a 50-year-old unemployed actress living off memories of her glorious past, shares a run-down home in a Rio de Janeiro slum with her conservative mother, whilst also dealing with a troubled relationship with her own daughter."
I Don't Know,"A failed cartoonist scores a dangerous win at a high-stakes poker game, and flees the criminal underworld of Los Angeles with his resilient sex worker fiancé."
Samandar,"Brothers Uday and Salman join fisheries mafia under ex-MLA Arjan Parmar. They target Imtiaz Memon, tied to Uday's sister's demise. Power struggle, betrayal, and politics strain their bond as revenge and fisheries mafia intersect."
Hidden Flora,"Roxii, a queer hopeless romantic, just wants to be loved and treated the way boys do girls. A string of boys and men inform Roxii's view of sex and identity in late aughts Las Cruces, New Mexico."
Stress Positions,"Terry, in strict quarantine in his ex-husband's Brooklyn home, cares for his injured nephew, a 19-year-old Moroccan model named Bahlul, drawing attention from everyone in his life."
Unnatural,A gunslinger on a mission from God must track down supernatural creatures as penance for his past sins.
Love Lies,An internet romance scam.
Election,"Nadarasan, uninterested in politics, runs for panchayat leader to honor his father. As he delves into the murky world of election politics, he faces violence, rivalry, and betrayals."
76 Days Adrift,"After a whale hits his boat, Steven Callahan survives 76 days alone on a life raft crossing the Atlantic. His bestselling story ""Adrift"" comes alive through vintage footage, photos, and recreations."
Jeffrey's Hell,"In 2023, filmmaker Aaron Irons went missing in a cave in the wilderness area known as Jeffrey's Hell. This documentary explores the truth behind what really happened to Aaron."
Paradises of Diane,"After the birth of her first child, Diane disappears in an unknown city, but her body reawakens her memories and what she is fleeing from."
Twin Lies,"When a young barista takes her twin sister's place for an escorting gig, all hell breaks loose when their mysterious client turns dangerous."
Where's My Head?,"A horror writer rents a cheap room haunted by the ghost of a beheaded woman demanding her missing head back. Nana can't leave until she finds the head, or her daughter will be decapitated."
Operation Hope,"After genetic experimentation during the Holocaust gave her great-grandmother great strength that was passed down through generations, Hope Silverstein embraced her powers and destiny as she fights to keep her loved ones and her city safe."
"Be My Guest, Be My Baby","While realistically depicting the background and hardships of young Filipina women working in ""Filipino pubs"" in Japan and their harsh working environment, this unique love story depicts how multicultural coexistence can be achieved."
Christmas on the Ranch,"When a talk show relationship expert with her own romantic hang-ups gets stranded at a ranch before Christmas, the charming rancher reminds her that love is always worth the risk."
Interstate,"A supernatural thriller in which a hitman, facing an existential crisis, decides to exit the game and leave town with the woman he loves, but his plans are disrupted by a mysterious young man and his ruthless former boss."
Insecure,A wife who helped build her husband's art gallery faces betrayal when he falls for another woman. Her journey through heartbreak leads to self-discovery as she seeks justice and confronts her fears.
Rajkumar,"A young man from rural Bangladesh travels to the US in search of his lost mother. Facing immigration struggles, cultural shocks, and his journey takes unexpected turns, leaving a profound impact that changes his life forever."
Shahkot,"Iqbal Singh, a determined Punjabi youth who decides to pursue his passion of venturing abroad, only for his life to take an unexpected turn."
Mandara,"Mandara, Vishwa's love meets heartbreak. Yashora, orphan heiress, flees murderous uncle seeking fortune. Their paths cross, intertwining love, loss, resilience. Dramatic climax against Sri Lankan backdrop, captivating soundtrack."
The Invasion,Sergei Loznitsa questions the consequences of the invasion of one country by another.
Body Language,"A woman who excels at reading body language realizes that something is deeply wrong during a quiet night at home, turning a peaceful night into a terrifying fight for her own survival."
The Dream Ledger,A group of five complete strangers who are haunted by their own dreams and trauma from their past connect on the Internet -- and they decide to travel to the one motel where they all experienced the cause of their own separate nightmares.
Not Just a Goof,"A documentary exploring the untold story of A Goofy Movie (1995). It follows a young creative team tackling their first Disney feature, its initial disappointment, and its surprising resurgence decades later."
Dengeler,"Victory in the ring, revenge on the street! Ferit must defeat both his enemies and his destiny."
Mia,"When a sheltered 17-year-old girl crosses paths with a mentally-disturbed drifter, they embark on a heartrending journey of loss and discovery."
Sadabahar,An Excellent Initiative by The Director. Superlative performances by Jaya Bachchan & Rajendra Gupta. Pure Nostalgia. It would bring tears to your eyes and make you introspect about the Relationships vis-a-vis Society. Kudos
Stevie Van Zandt: Disciple,"Traces Van Zandt's career as a musician, activist and actor from New Jersey to stadiums around the world."
Chiclets 2K Kids,The thought processes between the kids and their parents. Their thoughts about love and lust and how their parents try to gel up with them.
Silence of the Prey,"In a desperate bid to secure a future for her child, an undocumented immigrant mother takes a caretaker job. Unbeknownst to her, the elderly man conceals a horrifying truth."
Andamooka,A city woman's life falls apart just before she turns 30 so she heads to the outback on a quest to spend her 30th with her best friend in tiny opal mining town Andamooka.
"Goodbye, Hello","Nate Ryan returns home to Bundy Canyon to visit his dying father. With the help of Amal, a compulsively unfiltered hospice nurse, Nate opens old wounds in an attempt to make peace with his incredibly unpeaceful father."
Perempuan Pembawa Sial,"Mirah, a woman whose life is haunted by a curse. Instead of experiencing the joy of being loved, Mirah brings misery to every man who approaches her."
Sideways for Attention,"A Manhattan college senior with HIV grapples with her diagnosis, trauma, and future while her stepfather and a classmate reach out, until she uncovers a disturbing truth about another student."
My Fathers' Daughter,"Set in Norway's northern reaches, the story centers on Elvira, a Sami teen. Convinced her mother conceived at a Danish clinic, her life shifts when her true father emerges, forever altering her world."
The Fisherman,A Ghanaian fisherman teams up with a talking fish and a few companions for an adventure to Accra. They chase the dream of owning a boat while balancing the modern world and traditions.
The Wolves Always Come at Night,"A young Mongolian couple's lives are uprooted when climate change forces them to leave their rural home for the city, where they must adapt to an unfamiliar way of life."
Diving Into the Darkness,"Diving Into The Darkness is a jaw-dropping yet intimate portrait of cave diving icon Jill Heinerth, and the nail-biting challenges and risks she's faced to go where no man or woman has gone before."
Union,A group of current and former Amazon workers in New York City's Staten Island challenges one of the world's largest companies in a unionization battle.
The Legend of Sunnyfield Lane,A group of talented kids win a contest to attend an acting camp and discover an urban legend. Time is running out. Who will make the right choice.
Battlefield,"In WWI, Dr. Stefano Zorzi works at a clinic, treating soldiers' wounds and cases of self-injury to avoid combat.Dr. Giulio, who helps soldiers, becomes a silent competition that also involves nurse Anna. The Spanish flu strikes the city."
The Mistress,"Tracey's diabolical plan is working perfectly until a string of mysterious incidents land her face to face with her current target's WIFE. Now the tables take a riveting turn, as she suddenly becomes a pawn in her own game."
Too Old for Fairy Tales 2,"Your favorite gamer trio is back. They will spend an adventure-packed summer in the Tatra Mountains. During the trip, Waldek finds out that his father - the person who abandoned his family a long time ago - lives nearby."
Don't Make a Sound,"When their car breaks down in the woods, two sisters become the hunted prey of a deranged killer, who captures his victims on film."
Bhale Unnade,"Radha, a saree draper, falls for Krishna, who's hesitant about intimacy. Seeking wisdom, Radha understands love's depth beyond physical bonds. But Krishna's parents oppose their marriage, disrupting their relationship."
So Good! The Neil Diamond Experience,"Broadway, Television and Film star, Robert Neary creates an unforgettable tribute to one of the greatest musical artists in history. This documentary/concert was filmed in front of 10,000 people at the Harry Chapin Lakeside Theatre, In East Meadow NY. Now with half a million fans worldwide and counting, along with 1000's of reviews all over the internet and social media, ""So Good The Neil Diamond Experience"" is selling out venues all over the country and being hailed as ""the most authentic and professional tribute to Neil Diamond, ever"""
A Nanny's Revenge,"After hiring a seemingly innocuous nanny, a couple realizes she has sinister motives that threaten to destroy their family."
Jesus Thirsts: The Miracle of the Eucharist,"Jesus Thirsts explores the Real Presence of Christ in the Eucharist through biblical origins, expert insights, and personal testimonies, revealing the Eucharist's transformative power for those who believe."
The Honest Candidate,"A former idealist leader turned corrupt politician is cursed by his grandmother on the eve of the presidential elections, forcing him to be honest."
The Legend of Lake Hollow,A group of friends at a remote lakeside cabin find themselves in a deadly nightmare when trail cameras on the property reveal they are surrounded by more than just Mother Nature.
The Ceremony,Two troubled migrant workers in a Bradford car wash are dragged into an escalating moral crisis as night falls.
Tumbal Darah,"In a remote clinic that was supposed to be a way out, terror awaits instead: doctors and nurses who don't hesitate to torment, leading to a deadly chase to survive the long night."
Sisterhood,"As little girls, twin sisters Rianne and Juliette were inseparable, but now that they're adults, they couldn't be more different. Rianne takes care of her sick father and his snack bar at home in Rotterdam, while Juliette leads an unfettered life of luxury in Amsterdam. And where Rianne's passion for collecting is getting more and more out of hand, Juliette is successful as a professional organizer. When father Cor dies, they both do not trust the other to properly carry out his last wish to scatter his ashes on the Spanish coast. The sisters who have grown apart are forced to go on a road trip together."
Nyctophobia,"As Liz struggles with nyctophobia (fear of the dark), an anxiety disorder that disrupts her sleep, she desperately tries to fall asleep."
Pignorant,An ex gang member's love for pigs spurs him on a life-risking mission to uncover the truth behind 'bacon'.
Journey of Love,"Fathia, forced into marriage, marries Satya but secretly yearns for Raehan, an ordinary man who brings love into her life."
Vijay 69,A quirky slice-of-life film where a man decides to compete in a triathlon contest at the age of 69. It stars Anupam Kher in the lead role and is written and directed by Akshay Roy.
It Doesn't Matter,A dramedy exploring the redemptive bond between a lost Staten Island man and a young filmmaker
Benaam Rishta,"In the City of Dreams, Hema, a housemaid, dared to dream of love-unexpectedly, with her employer Shikha's husband, Rohan. Will this forbidden affair satisfy her yearning for love, or will their relationship remain undefined?"
To Gather Around,"Bai Sheng, a veteran Internet firm employee, enters a workplace conflict defending his rights. Joining others to resolve it, he's swept into an even greater mystery."
Blue Road: The Edna O'Brien Story,"A 93-year-old Irish writer Edna O'Brien recounts her controversial life, novels, love affairs, and stardom through personal journals read by actress Jessie Buckley, with perspectives from writers like Gabriel Byrne and Walter Mosley."
Nemlizade,"Unable to marry his lover Keriman due to poverty, Onur becomes the neighborhood headman after his uncle is paralyzed. Despite locals' disapproval, Onur and his friends strive to retain the position."
First Nights at Freddy's,"Before the events of the original FNaF Musical, several stories come together to uncover Fazbear Entertainment's web of lies."
Man in the Fields,"Introverted David uncovers ancient ritual. His attempt with friends goes awry, cursing them, unleashing ancient evil."
H. P. Lovecraft's the Old Ones,"Sea captain Russel Marsh was possessed by an ancient entity for 93 years, committing horrific acts for a cult. Now free, he seeks to travel back in time to undo his dark deeds, while the cult vows to eliminate him."
In His Own Image,"Antonia, a young Corsican photographer, navigates life, friendships, and love amidst the island's political turmoil from the 1980s to the early 2000s, depicting a generation's journey."
Deadline,The steel workers' strong will to prevent a huge typhoon Hinnamno that hit the Pohang Steel Works and the fierce struggle to overcome the crisis.
Salem Witch Doll,"Sarah, a depressed college drop-out, must uncover her family's twisted history, and her own greater purpose, if she is to defeat the Salem Doll, a monstrous wooden creature that terrorises Sarah and her loved ones."
The Hobby,"Explores the passionate world of modern board gaming, following enthusiasts who find community and meaning through games."
Tropicana,"A middle-aged cashier's monotonous routine is disrupted when her boss is mysteriously murdered, triggering a series of events that lead her to find self-worth and freedom."
Love You to Debt,"Follows Bo, a debt collector who starts to rethink everything after collecting a debt from a beautiful girl."
The Naughty List of Mr. Scrooge,"Former college friends reunite 10 years after a tragedy during a production of A Christmas Carol. Gathering at a winter chalet, they are stalked and killed one by one by someone dressed as a terrifying Ebenezer Scrooge."
Call Me Now: The Rise and Fall of Miss Cleo,"Miss Cleo, a psychic reader, achieves fame through Psychic Readers Network in the 90s. However, the network gets accused of fraud and misleading advertising, turning her world upside down."
Bahumukham,"Tanveer, an aspiring actor, moves to the city after leaving a detention center. He meets Disha, his therapist, for mandatory counseling but hides dark secrets, posing a threat."
Andrea Bocelli: Because I Believe,Follows Andrea Bocelli not only backstage but beyond the stage and into his private life with family and close friends.
Bloody Bridget,"Music driven horror-comedy. A voodoo deity transforms burlesque dancer into a ""Valentine vampire."" Blood only whets her appetite--she must eat her victims beating hearts. Baron Samedi drinks rum, smokes cigars and chases after mortal women. His wife, Maman Brigitte, is the red-haired Celtic goddess ""Brigid"" of Irish mythology, adopted in Haiti as their goddess of Death. Women seek her for protection--and justice. Bridget O'Brien is a red-haired waitress and burlesque dancer at a Van Nuys dive bar. She is exploited by her boss, her boyfriend and finally a sleazy attorney who attacks her--only to have her arrested for assault. Then comes the abusive prison matron. Finally, Bridget attempts to take her life. But Baron Samedi intervenes, thinking her the reincarnation of his disappeared wife. Bridget is empowered as a ""Valentine vampire."" ""What is that?"" she asks. ""Oh, you shall see!"" says the Baron. Blood tastes good, but is not enough--she must feast on the hearts of evil-doers."
Doctor X: The Movie,"Michiko Daimon is a freelance surgeon who never fails. She does not appear or act like a typical surgeon, but she is highly skilled. The story of her mysterious and solitary background is soon revealed and she also faces the worst crises ever. How will Michiko respond?"
Dougray Scott: Bringing Football Home,"Dougray Scott explores Scotland's pivotal role in creating modern football, charting the decades of footballing rivalry with England that have followed since their first official encounter in 1872."
The Spiritual Warrior,"A kickboxer begins a battle with himself, gradually rising to the top until he becomes a true spirit warrior."
Staycation,"As a candid interview carries on between the country's leading virologist and a no-nonsense journalist, college roommates deal with the daily struggles of a global pandemic, and a couple separated between continents play catch up."
Shrek 5: The Contract - A Fan Made Film,"In this film, when all 4 of Shrek's old nemesis come back from the dead and kill Fiona, he must find a way to bring Fiona back from the dead via magical contract, all with the help of Donkey, Puss, and some new faces."
Missing,"A girl vanishes while walking, leaving her family devastated. As months pass without clues, rumors about her mother's actions intensify online, straining her marriage."
Snow Valley,"A newly engaged couple's ski weekend goes horribly awry, when an unexpected guest arrives and the house's dark supernatural forces begin to rise."
Warrior Awang and Master Tok Gajah,"In the late 19th century, a highly skilled Malay swordsman fights to protect two politicians with pivotal roles in the struggle against colonial rule."
Vampire Lake,A girl journeys to a secluded lake to summon a vampire.
The Lost Holliday,"When Cassandra Marshall learns that her estranged son Damien Holliday has died, she heads to L.A. to handle his arrangements. She arrives to find that they're being handled by her sons husband, Jason Holliday, who she knows nothing about."
Anshu,"A woman navigates personal tragedies to uncover her inner strength and life's purpose, braving obstacles with resilience to find herself amidst chaos."
Satisfied,Renée Elise Goldsberry's journey navigating motherhood and her role in the groundbreaking musical Hamilton.
Living in Two Worlds,"Explores Dai's life as a CODA, navigating between the hearing and deaf worlds. It delves into his complex experiences, bridging communication barriers."
Europa centrale,"A metaphysical kammerspiel about political fight, betrayal, madness, focusing on a exiled communist couple during a train journey in the early months of WWII."
Mary Anning & the Dinosaur Hunters,Mary Anning - preeminent pioneering 19th-century Jurassic fossil hunter strives for recognition and equality in a patriarchal society. To this day she remains widely unknown despite highly influencing Darwin's theory of evolution.
The Devil's Trap,A big city hospital is terrorized by a demonic presence.
Snow White,"Looking for love on dating apps. Iman falls for the romantic Emad online, she hides her dwarfism using a filter and catfishes Emad, but for the sake of love. Will her little secret be forgiven?"
How to Solve Your Own Murder,"Kate, a troubled young woman wakes up in a parallel dimension and assumes her double's identity in order to solve her attempted murder."
Liza: A Truly Terrific Absolutely True Story,"A tribute to a young artist of unlimited raw talent and the deep, creative relationships she has with her mentors and influences."
Warm Film,Two young actors are exploring the topic of representation of LGBTI people through the history of Yugoslav cinema and social circumstances that have resulted in different treatment of these characters.
The White Mountain,"Follow elite heli-rescuer Bastien and female extreme skier, Hadley as they confront personal challenges on and off one of the world's most iconic mountains, exploring risk, resilience, and our bond with nature amid climate change."
Beyond the Likes,"Follows five friends in 2008 Chicago becoming social media influencers. One friend, Cam, falls for wealthy heiress Nefertari from Abu Dhabi, igniting cultural clashes threatening their relationship as they navigate adulthood's challenges."
Kamthaan,"A petty criminal executing a routine burglary inadvertently targets the home of a newly promoted police official, setting off a spiral of chaos."
Aaram Aravinda Swamy,Arvind is a recovery agent torn between his girlfriend's desire to marry and his fear of commitment. His avoidance sparks a comedic chain of events that challenge his escapist ways as he navigates love and responsibility.
Miracle Mile,"When a desperate veteran accepts a simple delivery job, he's forced to endure a grandfather with an attitude, a dreamer with a plan, and a disastrous journey. What begins as a paycheck becomes the ride of a lifetime."
Hakki,"Hakki finds a historical artifact in his garden and discovers his hunger for power, putting both him and his family under extreme duress."
Dirty Money,"Two detectives struggling with their own needs, succumb to temptation when handling a large amount of cash."
Designation of Origin,"Denomination of Origin (Denominación de Origen) is an audio-visual format (Film - Transmedia) in process of development. During its research process of 2 years and a half, it aims to revitalize the history and identity of many communities that have been vulnerated for decades in our Latin American countries. Its purpose, as well, is to rescue those identities which are disappearing."
Boonie Bears: Time Twist,"When Vick gets a chance to start his life again as a logger, he must save his friends by embarking on an adventure through time and space."
Love Me If You Dare,"A man's romance with an enigmatic woman leads him down a dark path as he faces terrifying events, vanishings, and heartbreak while urgently trying to uncover her true nature in this eerie Telugu fantasy romance."
Manson: Summer of Blood,"In the final, terrifying chapter of the most infamous crime of the 20th century, a dying Charles Manson is offered a chance to repent for his crimes, revealing horrific, never-before-seen details about the Sharon Tate murders-as well as a shocking twist."
The Accidental Twins,Two sets of identical twins switched at birth in Colombia explore their complex history and new identities in this captivating documentary.
John Brown the Advocate,"Amidst his intense internal struggles, the story of abolitionist John Brown unfolds against a backdrop of his unwavering quest to free every slave, advocating for their equality under the law."
A Girl Like Him,"A Girl Like Him is a coming of age drama centered around a small-town teen who makes a surprising life change, spiraling their lifelong best friend into a dark place when he realizes things will never be the same between them."
Rafael Nadal: The King of Clay,"This documentary follows Rafael Nadal's rise from a young tennis prodigy to a global legend. Highlighting his relentless spirit, triumphs, and challenges, it reveals the dedication and passion behind the legacy that has made him one of the sport's greatest icons."
Sexagenarian,A lonely sixty year old woman finds a new perspective on her life when an unexpected teenager appears on her doorstep. This troubled young man forces her to confront and question her personal history.
Agathokakological,"Nisha gets frequent blackmail calls from a Pvt number and she ignores it. Initially, it looks like a blackmail attempt, but things take a different turn as Nisha gets into trouble regularly. SI Ajith, has to figure out who's behind this."
Art Spiegelman: Disaster Is My Muse,"The life and work of the Pulitzer-prize-winning career of the cartoonist, Art Spiegelman."
Rent a Boyfriend,"In pursuit of professional success, Sophie left her personal life barren. As her high school reunion approaches, she feels compelled to present a successful image of her life and hires a stranger to play the role of her husband. However, as time passes and their 'relationship' continues, their connection starts to feel less like an act and more like reality.."
Roti Kapda Romance,"Childhood pals scattered worldwide reconnect after years apart. Together, they road trip across India to Goa, one friend determined to confront his ex who broke his heart and show her the mistake she made."
Renee Gracie: Fireproof,Australia's first female V8-Star Renee Gracie attempts to re-enter racing after being pushed out of the sport and becoming Australia's top earner on OnlyFans.
My Melbourne,"The film presents an authentic anthology exploring race, gender, sexuality, and disability through diverse stories by emerging Australian filmmakers."
The Real! Harry Potter - Young Adult or Occult?,Harry's magical adventures at Hogwarts unveil a controversial backstory about his destiny intertwined with Voldemort's sinister rise to power. The epic battle between good and evil ensues.
Land of Happiness,"In 1979 South Korea, a lawyer defends a secretary involved in the president's assassination, battling against predetermined military justice to ensure a fair trial amidst the nation's turmoil."
I Am the Secret in Your Heart,"Swooning over a charming transfer student, a high school teen becomes entangled in a love triangle between her crush and a close childhood friend."
Sridevi Prasanna,"Despite family pressure, Sridevi and Prasanna challenge conventional ideas about love and romance, finding a unique connection."
Culpa cero,"Berta Müller, a successful self-help writer, is accused of plagiarism. Far from taking responsibility, she will deny the accusations and try to justify herself, even if this means bringing out all her darkness."
Fiore mio,"To paraphrase Suzanne Simard, this film is not about how we can save the mountain. It is about how the mountain could save us."
Open Wide,John and Mike Mew's fringe orthodontic theories have found a passionate audience online-but now Mike must fight the establishment to keep his practice.
Drone,"Émilie, a young student, works as a cam-girl at night to make ends meet. One evening, a mysterious drone appears at her apartment window. From then on, whenever Emilie is alone, the drone appears and follows her."
Silvio,"During a kidnapping, television personality Silvio Santos must fight to protect his family and his legacy while facing one of the most challenging moments of his life."
Make a Girl,"In a future where domestic robots are commonplace, a young man creates his ideal partner. He brings to life an artificial girlfriend, who begins to display emotions. But over time she wonders whether her feelings are real or programmed."
Royal Façade,"When Princess Avali flees her early coronation to a small town and meets Anderson, a famous celebrity look-alike, a viral video causes a comedic identity mix up, having everyone guessing ""who's who?"""
Boxcutter,"After his laptop is stolen, an aspiring rapper goes on a quest across the gentrifying streets of Toronto to find his music in time for the event that could change his life - a meeting with a Grammy Award winning producer."
The Bad Nun 3,The nun has returned and set her sights on a girl alone in the mountains.
"National Theatre Live: People, Places and Things","Emma was having the time of her life. Now she's in rehab. Her first step is to admit that she has a problem. But the problem isn't with Emma, it's with everything else. She needs to tell the truth. But she's smart enough to know that there's no such thing. When intoxication feels like the only way to survive the modern world, how can she ever sober up?"
Karken,"A rural medical officer abruptly leaves his professional duty to pursue his passion for acting, but learns the price of following dreams that defy social structures, as viewers are entangled in a formal dynamic of identity, performance and language."
Killer Babes,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job."
Ten Toes Down,"Kyra's affair threatens her marriage, career, and freedom as manipulation spirals her life out of control in Ten Toes Down."
There's a Zombie Outside,"A struggling artist is deeply enmeshed in the world of cult cinema. As his identity blurs with his dark creations, he starts to see the monster from his films creeping into his reality, leaving him unable to distinguish fact from fiction."
Ek Daav Bhootacha,"Madan, a man gifted with the power to see ghosts, faces isolation and mockery. Smitten with Madhumati, his shyness prevents him from professing his love. A ghost named Shashikant strikes a deal."
He Loves Me Not,"An aspiring actress chosen as a wild card for a reality TV dating show uses a secret elixir to win the heart of the star, but when her deception is revealed, she discovers a messy but real chance for love."
John Cranko,"Joachim Lang's biopic about the brilliant dancer and choreographer John Cranko, who left the Royal Ballet in London and found fame in Stuttgart as its great dance creator."
"The People, United! A Cinematic Diary","The People United. A Cinematic Diary immerses viewers in the raw reality of the 2020 George Floyd protests. Through firsthand accounts, the film explores justice, inequality, and the divisions that continue to shape America."
Universal Groove,A quick trip through the underground party scene as seen through the memories of eight people coming back to reality.
The Desperate Chase,"A detective partners with a con artist adept at disguises to take down a powerful criminal organization. Their unlikely alliance faces challenges as they navigate the dangerous underworld, uncovering secrets and confronting mafia's."
Garbo: Where Did You Go?,"An urgent, timely and compelling portrait of Hollywood icon Greta Garbo, whose fame, isolation and loneliness still captures us."
EVOL: A Love Story in Reverse,"""EVOL: A Love Story in Reverse"" is a new age romantic thriller genere with a great writing and engaging screenplay everyscene of the movie set you on the edge of your seat"
Dance Rivals,An unexpected turn of events introduces her to the intense LA dance scene and in no time she is teaching dance and competing against the pros - but can she juggle both while falling in love?
Teki Cometh,"A retired professor resides in the Japanese-style home built by his grandfather. He spends his days cooking, occasionally entertaining former students. Until he receives a mysterious message on his computer hinting at impending danger."
Sailing Home,"Passionate about sailing, Jean-Paul passes a difficult pass. He accumulates debts and moves away from his own. Determined to take his life into his own hands, he enrolled in Virtual Regatta the virtual race of the Vendée Globe. He puts himself in the conditions of a real skipper by insulating himself for 3 months on his boat in his garden - This trip like no other, will allow him to reconnect with his family but above all with himself."
Schirkoa: In Lies We Trust,A bored office worker may have accidentally sparked a revolution in a bizarre dystopian world.
Retreat Vama Veche,"Eva, a psychologist specializing in couples therapy, is about to get married and her best friends are organizing her bachelorette party at a discreet tantra-yoga retreat in Vama Veche."
Gary,"Explores Gary Coleman's rise to fame as a child star, his struggles with living in the spotlight, financial troubles, depression, and the controversy surrounding his tragic death at age 42, providing insight into his private world."
Love Is Never on Time,"A writer named Daku who feels always chased by time to find a life partner. In a fairly complex journey, he also tries to find comfort in love."
Love Mocktail 2,A sequel to Love Mocktail. Revolves around Aadi after the demise of his wife Nidhi. How does he move on from such a loss?
My Eyes,An everyday working mother is forced to confront a past lover in order to save the vision of her only child.
Aïcha,Explores how far one can go to break free from their past.
Mi gallo,"A young boy in a rural village forms a deep bond with a fighting rooster, determined to train it for the upcoming championship. Facing local competition and personal struggles, he learns about friendship, courage, and resilience."
Little Emma,"A miniature girl raised by animal parents journeys to an island of tiny humans, uncovering unsettling revelations about her origins."
The Heartbreak Agency,Who is lovesick these days? A young journalist wants to expose the charming founder of a lovesick agency as a fake and embarks on a search for his own lost ability to love.
Kaptan Pengu ve Arkadaslari 4: Buzuldaki Sir,"Tili transforms the Ocean Angels Forest into a resort, successfully attracting tourists. However, a crack in the ice damages the penguins' homes, sparking conflict among the forest inhabitants. Captain Penguin and his friends travel north to investigate, but Tili is nowhere to be found. Excluded from all groups, Tili has met a mysterious being whose existence is unknown to anyone on Earth. The two embark on a long journey to rebuild the forest and the penguin city."
How Kids Roll,"In the midst of the war in Gaza during the Second Intifada in 2003, two boys, one Palestinian and one Israeli, along with a former surfing champion, form a friendship united by the love of water and learn from each other."
Soul Reaper,"A teenager with the ability to enter other people's dreams. When he witnesses a dark spirit taking people's lives in their dreams, he quickly realizes that it's related to the mysterious deaths that are happening in the real world."
Tasty,Follows two friends working in a canteen who take part in a cooking competition on TV.
Kevin James: Irregardless,"Kevin James stand-up comedy special with topics including parenting, marriage, and getting older."
.ask,"Chris Vander Kaay, a YouTuber in his mid-40s, takes a mysterious coach's advice to be brutally honest with his audience. His channel and life improve, but unforeseen darker consequences soon begin to unfold."
Judge Not,Jackie tries to rebuild her life with her children while facing an unplanned pregnancy. Backlash from fellow church members when she resolves to give the baby up for adoption causes her to question her faith.
Graveyard Shark,"Renowned cryptid hunter Abby investigates the terrifying urban legend of the Graveyard Shark, a humanoid creature stalking its prey in Willsboro Point's graveyard. Teaming up with survivors, she uncovers the creature's dark origins."
Big Ben,"Lovely and Jean Antony, living in separate countries, face a legal crisis when Jean visits Lovely in London with their 1.5 year daughter. Despite their unfamiliarity with local laws, will they overcome the challenges and reunite?"
Jesus,God's story is unstoppable when it is in the heart language of a people group. Deaf Missions' Jesus Film uses native signers to bring the story of Jesus to life from a Deaf perspective for a Deaf audience.
Top Floor,"An influencer is kidnapped and trapped in an elevator. The captor tells her that if she truthfully answers all of his questions, she'll reach the top floor and be granted freedom. If not, she'll die."
Fallen Fruit,"A heartbroken 20-something reluctantly returns to his childhood home in Miami, where he's forced to reevaluate his relationships in the face of a looming hurricane."
Dreams,"A crew of young street racers chase their dreams through underground competitions and hip-hop, facing rivalries and tough choices as they learn what it takes to make it."
El Hareefa,"Circumstances force Majed to leave his High end life, move from his private school to a public school. Over time,he gains the respect of his classmates because of his football skills"
Crosspoint,"An illegal Filipino entertainer in Japan, Manuel, meets a bankrupt Japanese businessman, Shigeru. After knowing the whereabouts of a high-profile serial killer at large, the two men decide to capture the killer to get a big bounty."
Antropophagus Legacy,"Everything in Hanna's life suddenly seems to fall apart. Accused of the brutal murder, she will ask for help from her cousin Hugo, who will drag her into a spiral of violence involving a dark past and a bloodline to be dealt with."
Mielensäpahoittajan rakkaustarina,Cupid's arrows can pierce even the oldest flannel shirt.
Basma,"A young Saudi woman studying abroad returns to Jeddah, where she learns that her family has been shielding her from difficult truths."
